
time (s)          v("VIN" ?resul    v("VOUT" ?resu    getData("VDD:p
 7.360000e-04      2.499003e+00      8.736138e-01     -2.582705e-04     
 7.380000e-04      2.499002e+00      8.736142e-01     -2.582705e-04     
 7.400000e-04      2.499001e+00      8.736146e-01     -2.582704e-04     
 7.420000e-04      2.499001e+00      8.736148e-01     -2.582704e-04     
 7.440000e-04      2.499000e+00      8.736151e-01     -2.582704e-04     
 7.460000e-04      2.499000e+00      8.736152e-01     -2.582704e-04     
 7.480000e-04      2.499000e+00      8.736153e-01     -2.582704e-04     
 7.500000e-04      2.499000e+00      8.736152e-01     -2.582704e-04     
 7.520000e-04      2.499000e+00      8.736152e-01     -2.582704e-04     
 7.540000e-04      2.499000e+00      8.736150e-01     -2.582704e-04     
 7.560000e-04      2.499000e+00      8.736148e-01     -2.582704e-04     
 7.580000e-04      2.499001e+00      8.736145e-01     -2.582705e-04     
 7.600000e-04      2.499001e+00      8.736141e-01     -2.582705e-04     
 7.620000e-04      2.499002e+00      8.736137e-01     -2.582705e-04     
 7.640000e-04      2.499003e+00      8.736131e-01     -2.582705e-04     
 7.660000e-04      2.499005e+00      8.736126e-01     -2.582706e-04     
 7.680000e-04      2.499006e+00      8.736119e-01     -2.582706e-04     
 7.700000e-04      2.499007e+00      8.736112e-01     -2.582707e-04     
 7.720000e-04      2.499009e+00      8.736104e-01     -2.582707e-04     
 7.740000e-04      2.499011e+00      8.736095e-01     -2.582708e-04     
 7.760000e-04      2.499013e+00      8.736085e-01     -2.582708e-04     
 7.780000e-04      2.499015e+00      8.736075e-01     -2.582709e-04     
 7.800000e-04      2.499017e+00      8.736064e-01     -2.582710e-04     
 7.820000e-04      2.499020e+00      8.736052e-01     -2.582710e-04     
